label,encoded
Ss_15_30_17_16,0
Ss_20_30_75_45,1
Ss_20_30_75_65,2
Ss_25_10_20,3
Ss_25_10_35_95,4
Ss_25_11_16,5
Ss_25_12_15_15,6
Ss_25_12_85_63,7
Ss_25_13_50,8
Ss_25_25_45_33,9
Ss_25_25_45_35,10
Ss_25_45,11
Ss_25_45_70,12
Ss_25_45_70_60,13
Ss_25_45_72,14
Ss_25_45_72_28,15
Ss_25_45_74_70,16
Ss_25_45_88,17
Ss_25_50_45_35,18
Ss_25_50_45_45,19
Ss_30_10,20
Ss_30_20,21
Ss_30_25_10_35,22
Ss_30_40_30,23
Ss_30_40_55_54,24
Ss_30_42_15,25
Ss_30_42_54_75,26
Ss_32_46_65_55,27
Ss_32_46_65_58,28
Ss_35_10_85_15,29
Ss_40_90_60,30
Ss_55_70,31
Ss_60_40,32
Ss_60_40_36_05,33
Ss_60_60_70_94,34
Ss_65_40,35
Ss_65_40_33,36
Ss_65_40_33_50,37
Ss_65_40_33_51,38
Ss_65_40_42_45,39
Ss_65_80_45_72,40
