ElementID,Volume,Area,Length,Height,Thickness/Width,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
1306672,11.05,44.21,13.56,3.37,0.25,-0.35,0.0,15.0,0.25,3.37,13.66,1016.09,282.85,85.3,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1306674,5.35,26.76,27.2,1.0,0.2,-1.0,0.0,27.0,27.33,1.0,0.2,1029.62,276.06,83.5,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1306676,4.72,23.58,23.59,1.0,0.2,-1.0,0.0,6.0,23.59,1.0,0.2,1031.5,289.62,83.51,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1306762,4.6,18.42,5.74,3.37,0.25,-0.35,0.0,10.0,0.25,3.37,6.18,1044.09,278.92,85.19,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1306764,3.57,14.47,4.4,3.37,0.25,-0.35,0.0,10.0,0.25,3.37,4.4,1044.09,287.34,85.34,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309469,10.61,43.01,3.35,12.33,0.25,-0.35,0.0,10.0,3.55,12.33,0.25,1103.99,282.19,83.89,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309483,1.22,6.11,1.68,3.25,0.2,-0.35,0.0,8.0,0.2,3.25,1.9,1108.84,281.37,79.37,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309485,2.06,10.32,3.18,3.25,0.2,-0.35,0.0,6.0,3.28,3.25,0.2,1107.15,280.52,79.39,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309487,0.94,4.71,1.68,3.25,0.2,-0.35,0.0,6.0,0.2,3.25,1.68,1105.67,281.34,79.39,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309491,17.34,69.35,35.26,3.45,0.25,-0.35,0.2,9.0,0.25,4.22,35.26,1123.0,280.37,78.92,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309493,8.83,35.34,20.88,2.4,0.25,0.0,-0.5,10.0,0.25,2.75,20.88,1119.15,271.89,78.89,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309495,0.67,2.67,1.55,1.75,0.25,-0.03,-1.19,6.0,1.67,1.75,0.25,1118.25,276.95,78.94,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309502,8.99,44.95,13.01,3.45,0.2,-0.35,0.2,6.0,0.2,3.45,13.16,1102.31,288.83,79.48,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1309504,13.13,43.76,13.56,3.25,0.3,-0.35,0.0,6.0,13.56,3.25,0.3,1109.14,295.2,79.39,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
